feature num 267 field num 33
WARNING:tensorflow:Variable += will be deprecated. Use variable.assign_add if you want assignment to the variable value or 'x = x + y' if you want a new python Tensor object.
2018-04-22 03:18:54.083857: I tensorflow/core/platform/cpu_feature_guard.cc:140] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2 FMA
loop:880 losses:68.2283096313
loop:881 losses:129.73487854
loop:882 losses:188.686004639
loop:883 losses:177.253234863
loop:884 losses:206.067108154
loop:885 losses:76.8376617432
loop:886 losses:142.353820801
loop:887 losses:118.327529907
loop:888 losses:155.597808838
loop:889 losses:253.28326416
loop:890 losses:52.869758606
loop:891 losses:43.5753479004
loop:892 losses:127.969596863
loop:893 losses:100.7264328
loop:894 losses:113.767044067
loop:895 losses:42.9122085571
loop:896 losses:422.759277344
loop:897 losses:39.2115478516
loop:898 losses:50.4360351562
loop:899 losses:159.038391113
loop:901 losses:128.024902344
loop:902 losses:242.814300537
loop:903 losses:119.162384033
loop:904 losses:47.5075263977
loop:905 losses:28.231754303
loop:906 losses:93.3808746338
loop:907 losses:44.3672561646
loop:908 losses:49.8655052185
loop:909 losses:31.2481918335
loop:910 losses:51.8973693848
loop:911 losses:79.8579711914
loop:912 losses:81.5524902344
loop:913 losses:129.296401978
loop:914 losses:203.00970459
loop:915 losses:108.456970215
loop:916 losses:152.791809082
loop:917 losses:313.35345459
loop:918 losses:136.861755371
loop:919 losses:126.749481201
loop:920 losses:249.491516113
loop:921 losses:228.967636108
loop:922 losses:64.2713623047
